580DD900-385D-11D7-883A-00500473D4EB,Uhcd
8F5A2E02-538C-4D59-B920-C4786ACBC552,Ahci
28D46803-7646-4DFE-90ED-8575584ED6E6,AmtDxePolicyInit
77EB6C06-FD48-488B-A1B3-AE0A70801369,CryptoDXE
79CA4208-BBA1-4A9A-8456-E1E66A81484E,Legacy8259
9D7AF408-64A3-4AF4-83C9-2D1095F700D1,CpuMpPei
80E66E0A-CCD1-43FA-A7B1-2D5EE0F13910,PciRootBridge
42857F0A-13F2-4B21-8A23-53D3F714B840,CapsuleRuntimeDxe
1B45CC0A-156A-428A-AF62-49864DA0E6E6,PEI apriori file
E764500B-E398-4AB7-BBBC-99A8E683681F,MeSmbios
6D4BAA0B-F431-4370-AF19-99D6209239F6,PfatServices
1807040D-5934-41A2-A088-8E0F777F71AB,NVRAMDxe
D77C900D-A1C7-41C5-B989-0C3D37FCA432,AmtWrapperDxe
CDC1C80D-E6D3-4A42-9229-75F3BEFCF109,PciOutOfResourceSetupPage
4A6D890F-93C3-4B6D-A67D-5F2C4DCE347B,RuntimeSmm
81A4F912-E72F-44ED-8931-16A9FE9650E0,KbcEmulDxe
52C05B14-0B98-496C-BC3B-04B50211D680,PeiCore
9F3A0016-AE55-4288-829D-D55FD3AAC347,AmiBoardInfo2
94734718-0BBC-47FB-96A5-EE7A5AE6A2AD,Dhcp4Dxe
70E1A818-0BE1-4449-BFD4-9EF68C7F02A8,ReFlash
80D7491A-F7D9-479D-A8F7-1B393B02ED66,FastBootRuntime
39E8CA1A-7A69-4A73-834A-D06381933286,UsbPei
654FE61A-2EDA-4749-A76A-56ED7ADE1CBE,CmosPei
2E6A521C-F697-402D-9774-98B2B7E140F3,PlatformType
87AB821C-79B8-4EF6-A913-21D22063F55F,AcpiPlatform
4E82091E-32A1-4689-8A00-CDE41ED63CDD,SioDxeInit
26A2481E-4424-46A2-9943-CC4039EAD8F8,S3Save
A062CF1F-8473-4AA3-8793-600BC4FFE9A8,CsmDxe
